,topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
10,ageism_04,covidiots,1245643591029944320,./tweet_data/ageism_04/covidiots/tweets1/EUlqPNoUcAAfEPk.jpg,./annot_100_hate/EUlqPNoUcAAfEPk.jpg,"Naniama! You go talk truth! 😁😁

So now we’ve moved from ‘Misled’ to ‘Misspoke’? What is it about you guys and the prefix ‘mis’?
@moigovgh #CoronavirusOutbreak #Ghana #COVIDIOTS https://t.co/wJ9btDdSGB","COVID-19: Health
Minister 'misspoke' on
treatment of VIPS at
BoG hospital – Oppong
Nkrumah
by Marian Ansah
April 2, 2020 2 min read
sroom.com www.citinewSFoom.com.ww.citin.woroom.com www.citinewaroom.co",health minister misspoke treatment vip bog hospital nkrumah oy marian,0
11,ageism_08,covidiots,1289633613873479682,./tweet_data/ageism_08/covidiots/tweets1/EeWy7eKXgAIJyKM.jpg,./annot_100_hate/EeWy7eKXgAIJyKM.jpg,"We’ve seen it on video, the senator admitted and even apologized for it. Today, a Nigerian judge has passed a judgement that says otherwise. The truth is, The Nigerian system is rigged to help the poor and uplift the rich at whatever cost. #konji #COVIDIOTS #HeadsUpFACupFinal https://t.co/E4yMEavKYU","i
PUNCHNG.COM
Senator Abbo wins assault case despite video
evidence",oy ge wf senator abbo win assault case despite video evidence,0
12,asianhate_04,CCP_is_terrorist,1250733087438147585,./tweet_data/asianhate_04/CCP_is_terrorist/tweets3/EVt_F8jVcAAy9L8.jpg,./annot_100_hate/EVt_F8jVcAAy9L8.jpg,"@khunprinx And we will defend our friend from evil #CCP

#MilkTeaAlliance 
#ChinaLiedPeopleDie 
#CCP_is_terrorist 
#China
#StopMekongDam https://t.co/cxRAsbwljE","Let's talk about
cooperation, OK?
MEKONG
RIVER
MYANMAR
THAILAND LAOS
VIETNAM
CAMBODIA
Rehatemer
0130 2018.
CHINA",let talk nye mors ae vy cc ip il ll db pe bia bs ci fealty laos a8,1
13,politics_12,kag,1335725024926298112,./tweet_data/politics_12/kag/tweets1/Eoly09yVgAM08_k.jpg,./annot_100_hate/Eoly09yVgAM08_k.jpg,@iEuno @trainman_lover I see she wants to have an open and fair conversation about this. #KAG https://t.co/gKHoz9j8dz,"AT&T 5GE
3:16 PM
C10 4
000
Trainman_Lover
@trainman_lover
@trainman_lover blocked you
You are blocked from following
@trainman_lover and viewing
@trainman_lover's Tweets.",cave asic aon cea acca rr sper lover ee ea vy block block follow trainman lover view trainman lover tweet,0
14,politics_12,TrumpIsACompleteFailure,1336716070820990981,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/Eoz4KvgW4AMg4ef.jpg,./annot_100_hate/Eoz4KvgW4AMg4ef.jpg,"@realDonaldTrump #TrumpVirusDeathToll287K ,
Over 102,000 hospitalized, and over 2,000 #Americans dying every day. This is #TrumpsAmerica .

At least Germany has a leader who gives a damn about her country's people. We have #DiaperDonald .

#TrumpIsACompleteFailure 
#TrumpIsANationalDisgrace https://t.co/sGplCKkGf9","Don't be afraid of
Covid! Don't let it
dominate your
life!""
BLA
Snarky Democrat
TWE
73
O Like
O comment
A Share",wee nt afraid nt let aoe woe oe oii ere aii iy ie nie siew coen ee sam,0
15,immigration_08,BuildTheWall,1296529811104358400,./tweet_data/immigration_08/BuildTheWall/tweets3/Ef4y_bfUYAAAoeW.jpg,./annot_100_hate/Ef4y_bfUYAAAoeW.jpg,@realDonaldTrump #DonaldTrump’s son #DonaldTrumpJr testimonial on how much he respected &amp; loved #SteveBannon’s #BuildTheWall #GoFundMe effort. Jr’s girlfriend #KimberlyGuilfoyle had same praise how beautiful the wall was going to be #awkwardmoments #SteveBannonArrested https://t.co/dk5IwFZPkz,"This is private enterprise at its finest. Doing it better, faster, cheaper than anything else and what you guys are
doing is pretty amazing. It started from a grassroots effort and it's doing some wonderful things for an important
issue""
Donald Trump Jr.",private enterprise fine well fast cheap guy pretty amazing start grassroots effort wonderful thing important issue donald trump jr,0
16,politics_04,CreepyJoe,1253617208959221762,./tweet_data/politics_04/CreepyJoe/tweets4/EWW9Jl5U0AA_-GH.png,./annot_100_hate/EWW9Jl5U0AA_-GH.png,"@ManFromMarina @CNN Peter which Joe are you going with? 

 #CreepyJoe  #DementiaJoe https://t.co/PgPDhEdndZ","If you're
paddling
upstream in a
canoe and a
wheel falls off,
how many
None ! Cause
pancakes fit in a
Ice cream
doesn't have
doghouse?
bones",paddle xi de ta canoe natal ae cause ice cream pancake fit ina doghouse nt,1
17,asianhate_04,ChinaLiedPeopleDied,1251924150060490752,./tweet_data/asianhate_04/ChinaLiedPeopleDied/tweets3/EV-6YO8WAAACgPz.jpg,./annot_100_hate/EV-6YO8WAAACgPz.jpg,"@RepDonBeyer It’s sad that highly partisan Democrats like Don Beyer support the Chinese Communist Party much more than they support the duly elected President of the United States.

#ChinaLiedPeopleDied https://t.co/7j9u47bGUS","00
LOOK AT ALL THOSE CRAZY DEMOCRATS IN
AMERICA BLAMING TRUMP FOR SOMETHING WE CAUSED
imgfip.com
9
27 15
50
Tweet your reply",cory look crazy democrats putt eti ts tia 15 bb tweet reply,1
18,politics_08,TrumpIsACompleteFailure,1295236561479450624,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/EfmaydxXgAofQrd.jpg,./annot_100_hate/EfmaydxXgAofQrd.jpg,"Can trump not be so damn disgusting?
@realDonaldTrump 
@GOP
#TrumpIsAnInternationalLaughingStock 
#TrumpIsANationalDisgrace 
#TrumpIsACompleteFailure 
#TrumpCrimeFamily 
@ProjectLincoln 
@MeidasTouch https://t.co/7aH1VHMwqE","In 1993, Trumpasked,
""Is it wrong to be more
sexually attracted to
your own daughter
than your wife?""
At the time,
Ivanka was
13 years old.",int ts ita peta sexually daughter trad time ivanka ps year old ie ill,1
19,politics_04,TrumpGenocide,1255306873483468804,./tweet_data/politics_04/TrumpGenocide/tweets5/EWu-8k-XkAI7Gls.jpg,./annot_100_hate/EWu-8k-XkAI7Gls.jpg,"@ScottImmordino Sadly, I'm not surprised.
Heartless, gutless bastards who only care abt their status, money, and political connections
It's truly disgusting what OUR COUNTRY has become under this failed reality star, fascist wannabe
#TrumpGenocide
#GOPBetrayedAmerica https://t.co/u3IVUvvv09","Essential
employees
Companies making
""thank you"" ads
instead of giving
them raises or
hazard pay",ly ee pp employee companies ae thank ad instead give raise hazard pay,0
20,politics_12,TrumpIsACompleteFailure,1344285987757723649,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets5/Eqfc-1ZVkAEmMco.jpg,./annot_100_hate/Eqfc-1ZVkAEmMco.jpg,"We have a shitty, self-serving, petty, irresponsible, uncaring, uneducated, lack of leadership. #TrumpIsACompleteFailure https://t.co/TeRkoR9ucQ https://t.co/9XRSS3fjgw","He doesn't read.
He doesn't think.
He doesn't listen.
He doesn't care.
He doesn't grasp.
Because,
He has no remorse.
He has no empathy.
He has no conscience.",nt read acme ee acme nt care nt grasp crm cle,1
21,asianhate_04,CCPVirus,1252110662165127168,./tweet_data/asianhate_04/CCPVirus/tweets3/EWBkAYdU0AEZY0s.jpg,./annot_100_hate/EWBkAYdU0AEZY0s.jpg,"@dcexaminer @BoycottChina9 @Huawei To all countries seriously affected by #CCPVirus, once your network is comprised, you are done.
UK and other countries have to consider seriously NOT to using #Huawei!

#CCPVirus #CHO #COVID19 #中共病毒 #武漢肺炎 
#HKIsNotChina #TaiwanIsNotChina #ChinaLiedPeopleDied https://t.co/Fsr7Ci4brV","000
HUAWEI
Huawei O
@Huawei
@Huawei blocked you
You are blocked from following @Huawei and
viewing @Huawei's Tweets.",a7 lg oh lf huawei huawei huawei block block follow huawei view tweets,0
22,politics_04,TrumpGenocide,1248710458065944579,./tweet_data/politics_04/TrumpGenocide/tweets2/EVRPis5WsAEcBbl.jpg,./annot_100_hate/EVRPis5WsAEcBbl.jpg,"Seriously.......journalists need to be tougher with follow up questions. Trump keeps getting away with lying over and over with ZERO push back. Trump is getting away with regurgitating his gaslighting rally rhetoric. ENOUGH!
#TrumpBurialPits #Couchella #TrumpGenocide https://t.co/vVF6HfI74p","Press Conference
Propaganda Session
E HO
RDUNI
Governor
Audrew M. Cuomo",press conference propaganda session co yee ps peal 44 ia sem,1
23,ageism_08,covidiots,1299858032747327494,./tweet_data/ageism_08/covidiots/tweets5/EgoF_UvX0AA1Tem.jpg,./annot_100_hate/EgoF_UvX0AA1Tem.jpg,"Risk area, Preston, to London. Putting more lives at risk to push these baseless conspiracies. She’s risking her two young children as well.
I’m ashamed to be from the same family.

Enjoy this edit of her #COVIDIOTS https://t.co/qc6RmC0SFO","00
NO
BRAIN
YES,
I AM AS
STUPID AS
I LOOK
#COVIDIOT
Tweet your reply",ke ee ny ce il ys ly ae fai 00 cov din ae ty tweet reply,1
24,politics_12,dictatordan,1343780557365211136,./tweet_data/politics_12/dictatordan/tweets5/EqYRSdoU0AAXRty.jpg,./annot_100_hate/EqYRSdoU0AAXRty.jpg,Even his hometown has disowned him. 👏👏👏Wangaratta.  #Wangaratta .  #DictatorDan #JailDanAndrews #DickheadDan  #AndrewsRoyalCommission #ICantStandDanAndrews https://t.co/iRV7OQWp9m,"MALARAT
Welcome to
WANGARATTA
NOT YOU DAN
FARK OFF
Ha traa bth
ketaran IDY TONw 2013",hie ne wang dan fark rend ao oz aa,1
25,vaccine_04,Plandemic,1253098813218152448,./tweet_data/vaccine_04/Plandemic/tweets4/EWPmtxzUEAAiT8x.jpg,./annot_100_hate/EWPmtxzUEAAiT8x.jpg,@doctorow Okay okay okay... I am finally getting there. #radicalized #Plandemic #LockedIn #feelsafe #day36 #dontcaughonme #masked #WhyDosentTheTeflonCoatedPresidentCatchIt https://t.co/uFXjq6x271,"THE
MASQUE OF
THE RED
DEATH
kindle",fi eed red death ee,0
26,politics_12,TrumpIsALaughingStock,1335035311655690242,./tweet_data/politics_12/TrumpIsALaughingStock/tweets1/Eob_ipLXMAAHjXZ.jpg,./annot_100_hate/Eob_ipLXMAAHjXZ.jpg,@POTUS @realDonaldTrump Your truly are #DaiperDon.  #DaiperDon.  #TrumpIsANationalDisgrace #TrumpIsALaughingStock #BiggestLoser #dumbdumbdonnie https://t.co/R1nvIBYXTY,AMERICA HAS SPOKEN..,america speak,1
27,asianhate_04,MakeChinaPay,1251848064844922880,./tweet_data/asianhate_04/MakeChinaPay/tweets3/EV91LaiXQAcyr5X.jpg,./annot_100_hate/EV91LaiXQAcyr5X.jpg,Yes! No lipstick under masks! But a little clear / near-clear pomade/lip balm ~ Any brand is a good idea~ #coronavirus #COVID19  #mask #MakeChinaPay @CBSNewYork @JohnElliottTV https://t.co/JicprEXplN,"LIMITED EDITION
Vaseline.
LIP THERAPY
HEAL
DRY
LIPS
Pink Bubbly
HELPS
NETWT 0.60Z (17g)
Vaseline.
Lip Therapy
ALOE
SLINIC
NETWT 0.60Z (17g)",eline pe c7 nn fad oe pp nie 06 ad wt ol ad,0
28,politics_12,TrumpIsANationalDisgrace,1338195764217073664,./tweet_data/politics_12/TrumpIsANationalDisgrace/tweets2/EpI59HyW8AA-EID.jpg,./annot_100_hate/EpI59HyW8AA-EID.jpg,@realDonaldTrump Quit your crying. You LOST. The People have spoken. SCOTUS have spoken.  So many people are dead and starving because of YOU! You can't lead. We'll clean up your mess! I can't wait until Jan. 20th! #TrumpVirus #BidenWonTrumpLost #BidenHarris #TrumpIsANationalDisgrace #concede https://t.co/Fk7cxJXUdP,"DOUBLE ISSUE
DEC. 21/DEC
2020
PERSONof theYEAR
TIME
JOE BIDEN
AND
KAMALA
HARRIS
CHANGING
AMERICA'S
STORY
AIWE,COM",person oi,0
29,asianhate_04,Wuhanvirus,1249227103712632832,./tweet_data/asianhate_04/Wuhanvirus/tweets2/EVYlbN2UEAEFUcD.jpg,./annot_100_hate/EVYlbN2UEAEFUcD.jpg,@aesthernatouch Time for Asians to form an ally against the #WuhanVirus and the tyranny regime 💪 https://t.co/vsZ2PVybUq,"IS YOUR NAME WIFI? BECAUSE I FEEL A CONNECTION.
76",wee 1s feel connection,0
30,politics_08,RacistInChief,1292948495817682944,./tweet_data/politics_08/RacistInChief/tweets2/EfF5gfeXsAEiFnn.jpg,./annot_100_hate/EfF5gfeXsAEiFnn.jpg,Really? The #RacistInChief is talking about ANOTHER capital gains tax cut? &amp; another tax cut for the “middle class” that he defined as households with an income above $250K? Out of touch does not fit. That’s “Let the poor eat cake” type 💩😡 https://t.co/F9J8uPieLV,"%24
The only thing easier to buy în
America than a gun is a Republican
imafio.com",zi aay ye es pie america gun hit easy fo buy,1
31,politics_08,TrumpIsACompleteFailure,1291413367618449415,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets1/EewFnSCX0AA6-W0.jpg,./annot_100_hate/EewFnSCX0AA6-W0.jpg,"@realDonaldTrump You're a complete failure. Kudos to @jonathanvswan for exposing you for the fraud that you are. #TrumpOwnsEveryDeath #TrumpIsALaughingStock #TrumpIsNotWell #COVIDIDIOT
#TrumpHasNoPlan #TraitorTrump #TrumpIsANationalDisgrace #TrumpIsACompleteFailure

 https://t.co/Z4Zz1POcMR https://t.co/zUN1CSYf8q","i
SOIXV
FULL EPISODE.
YOUTUBE.COM
AXIOS on HBO: President Trump Exclusive
Interview (FullI Episode) | HBO",ee i5 hbo president trump exclusive interview episode hbo,0
32,politics_08,PedoJoe,1296197484583309312,./tweet_data/politics_08/PedoJoe/tweets3/Ef0Em4IWoAAvOIr.jpg,./annot_100_hate/Ef0Em4IWoAAvOIr.jpg,DON'T LET THIS HAPPEN...#PedoJoe is a TrojanHorse for COMMUNISM. #VoteTrump #Trump2020 #TrumpFOREVER https://t.co/jUMKTYbB9j,"TEXT TRUMP TO 88022
“Joe Biden is a
Trojan Horse for
Socialism""
- President Donald J. Trump
RICA GREAT!",text trump 70 joe biden isa trojan horse sake na ah,0
33,asianhate_04,ChinaLiedPeopleDied,1248218707446226944,./tweet_data/asianhate_04/ChinaLiedPeopleDied/tweets2/EVKQRz6UUAE8sC-.jpg,./annot_100_hate/EVKQRz6UUAE8sC-.jpg,"@Yuriko76695497 @Wl9uZ So damn true. They conceal the epidemic and disguise as saviour lol.

#ChinaLiedPeopleDied 
#WuhanVirus https://t.co/NxFoEdBVqi","EUROPE & AMERICA:
CHINA HAS BROUGHT US A DEADLY DISEASE!
HONG KONG & TAIWAN:
imgflip.com
-First time?",europe america china bring deadly disease hong ens esa ura,1
34,politics_04,kag,1253706447470411779,./tweet_data/politics_04/kag/tweets4/EWYPSgFXsAEi_YL.jpg,./annot_100_hate/EWYPSgFXsAEi_YL.jpg,"Come join us for our National Weekend of Action, where we’ll be engaging voters by making calls for President Trump so we can all #LeadRight and #KAG together! 🇺🇸 https://t.co/C0CONAdVb2","NATIONAL WEEKEND OF
ACTION
MAKE CALLS | APRIL 24-26, 2020
JOIN US
ADERSH
TRUMP
VICTORY
NITIATIN",national weekend call april 2426 2020 join iz eu ga,0
35,politics_08,TrumpIsALaughingStock,1290850145056129026,./tweet_data/politics_08/TrumpIsALaughingStock/tweets1/EeoFXQgU0AAq4dy.jpg,./annot_100_hate/EeoFXQgU0AAq4dy.jpg,Axios interview with 🤡 what a train wreck. #Axios #JonathanSwan #AnyoneButTrump2020 #AxiosOnHBO #TrumpIsALaughingStock #Swan https://t.co/532wmJz79H,Jonathan Swan representing all of us.,jonathan swan represent oe,0
36,politics_08,kag,1295941364186615808,./tweet_data/politics_08/kag/tweets3/EfwbzJAUcAECMdL.jpg,./annot_100_hate/EfwbzJAUcAECMdL.jpg,@ec_kag @jimscileppi @CountryTisOThee @gonepecan11 @TheMangoMan7 @mwtankard @bhoytie @kim2tex @Christine_MAGA @JasonRobergeVA @boomrsunr @girlygirl1227 @US13s @bheiss76 @KimJ1011 @twobarrels @leemack2 @MalinaFronda @TA_WYMAN @NobleMark22 @whydonttheytell Slow Joe is NOT what we need in America. We need a leader. Donald Trump is the man we need to #KAG https://t.co/RjKCUlC5Xc,"LET ME BLOW
IN YOUR EAR.
THAT'S AWESOME!
THANKS FOR THE
REFILL !",let blow ear fal thats awesome thank refill bd,1
37,ageism_04,covidiots,1252160430568607747,./tweet_data/ageism_04/covidiots/tweets3/EWCRRL6XgAAEgD_.jpg,./annot_100_hate/EWCRRL6XgAAEgD_.jpg,"Yep. There it is.
Forseen in a fantasy movie.
Natural selection. Go USA 👍
 #coronavirus #COVID #COVIDIOTS #Covid_19 https://t.co/Eg0q2Ir6ic","WEL
YOURSELVE
Aoase
KE
AT HOME
GOME
BAGK
Independence Day Rooftop Party
7,001 views",independence day rooftop party 7001 view,0
38,politics_08,TrumpIsALaughingStock,1295856614369452032,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfvOuOAVoAAkyUF.jpg,./annot_100_hate/EfvOuOAVoAAkyUF.jpg,"This killer combo wants your vote now!
Available now in our Etsy store 
Link in bio  

#ElectionHQ 
#Vote 
#TrumpIsALaughingStock https://t.co/vuUxBV8bna","BUNDY
DAHMER
2020",bundy dahmer 2020,0
39,politics_08,TrumpIsALaughingStock,1296221770127568898,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/Ef0a1DLU0AAd5tt.jpg,./annot_100_hate/Ef0a1DLU0AAd5tt.jpg,"@realDonaldTrump @senatemajldr It’s Wednesday August 19th and Donald J Trump IS the most corrupt President in American history. 
#TrumpKnewAboutRussiaBounty
#TrumpIsALaughingStock https://t.co/F1H0ayd972","POLITICS
Jonathan Swan Names The Most
""Stunning' Moment Of His Wild Trump
Interview
""He is not confronting reality when it comes to the
virus,"" the Axios journalist said.
By Ed Mazza",yip mi politics jonathan swan names stunning moment wild trump interview confront come virus axios journalist say ed mazza,0
40,politics_12,TrumpLiesPeopleDie,1335269002600394754,./tweet_data/politics_12/TrumpLiesPeopleDie/tweets1/EofUEnoW8AAs574.jpg,./annot_100_hate/EofUEnoW8AAs574.jpg,"@HappyPete55 @nazani14 @AngieGr60130939 @JMPeck69 @traderttt9 @TwiHusband @KEB22032 @kenserlore96 @Science_George @gunsnrosesgirl3 @TallDavid Nobody has the ""right"" to murder everyone around them. Any reference to ""rights"" is simply ANOTHER bullshit lie rolling downhill from the Liar In Chief.

#TrumpsAPathologicalLiar 
#TrumpLiesPeopleDie 
#MakeLyingWrongAgain https://t.co/P9OY0Wgdpg","Smells like
BULLSHIT
When
TRUME
Talks...",lik bullshit ly nd ere ee talk,1
41,politics_08,TrumpIsANationalDisgrace,1296295864835756034,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets3/Ef1eN8sWkAElhcO.jpg,./annot_100_hate/Ef1eN8sWkAElhcO.jpg,"@realDonaldTrump Man baby is screaming in all caps! 😂😂😂

#TrumpIsANationalDisgrace 
#DNC2020convention 
#25thAmendmentBeforeWeAllDie 
#AmericasGreatestMistake 
#BidenHarrisToSaveAmerica https://t.co/43ZIpP2NJx","Trump has shown
no interest in using the
awesome power of his
office to help anyone
but himself and his
friends. No interest in
treating the presidency
as anything but one
more reality show that
he can use to get the
attention he craves.""
- BARACK OBAMA
RIDIN' WITH BIDEN",trump show interest awesome power office help friend interest treat presidency reality use attention crave barack obama ridin biden,0
42,ageism_12,babyboomers,1334909614953926657,./tweet_data/ageism_12/babyboomers/tweets1/EoaNN-KVgAYM5uf.jpg,./annot_100_hate/EoaNN-KVgAYM5uf.jpg,@thistlefarms essential oils available NOW! #popupshopathome #facebookevent #benefit #tinybutmighty #Moclips #PacificBeachWA #GraysHarbor #NorthBeach #HiddenCoastScenicByway #WACoast #PCUSA @Presbyterian #millenials #GenX #BabyBoomers #SilentGeneration #GENERATION_Z #balance https://t.co/TByWj14xre,"LOVE HEALS
THISTLE FARM S
BALANCE
HEALING OIL",love heals le farm oo balance healing 9d pr ull id rah,0
43,politics_04,TrumpIsALaughingStock,1254081508236615680,./tweet_data/politics_04/TrumpIsALaughingStock/tweets4/EWdkewtVAAc4tRu.jpg,./annot_100_hate/EWdkewtVAAc4tRu.jpg,@realDonaldTrump Send them some disinfectant while you do that. #TrumpIsALaughingStock https://t.co/KVjWZdaxib,"AUATIUS
Whitest
CLOROX
Trump supporters
be like.
imgfipcom",pian ee aad ui trump att,1
