topic,hashtag,tweet_id,image_path,sample_path,label,body_text,image_text,text_with_OCR
Political,Trump2020,1290096753144807425,./data_Political/Trump2020/tweets1/EedYKPYXkAAonhv.jpg,./annotation_data/Political/EedYKPYXkAAonhv.jpg,0.0,"@RepAdamSchiff @Gerrrrrrrr8 Let me make this #PerfectlyClear
#Trump2020
#GodBlessAmerica 
#GodBlessPresidentTrump https://t.co/YZE1LMTPkv"," Its no longer Republicans versus the Democrats its America versus socialism House Majority Leader  Kevin McCarthyCalifornia 
",Its no longer on versus the its versus socialism House Majority Leader
Boomer,karen,1297131490585784321,./data_Boomer/karen/tweets4/EgBWN0UXsAAcil_.jpg,./annotation_data/Boomer/EgBWN0UXsAAcil_.jpg,0.0,"Good morning Karen......how many of you agree with Karen’s pronunciation????  
More to come in separate tweet #Karen #whatdidusay https://t.co/UPMNHluDLd"," Aluminum Foil  10 full Reynolds Wrap 200 TRUSTED AROUND THE WORLD SINCE 
",Aluminum War aa Oe
Immigration,cdnpoli,1289977533673254913,./data_Immigration/cdnpoli/tweets1/EebrujFUYAAEoy0.jpg,./annotation_data/Immigration/EebrujFUYAAEoy0.jpg,2.0,"Donald J #Trump, aka The Donald, media marvel, but...
FAILURE TO DELIVER. #uspoli #GOP #maga2020 #kag2020 #covidiots #covid19 #POTUS45 #FoxNews #cdnpoli https://t.co/ZQ5gA6PlpL"," MAPVEL AGE OF THE LAMPS 
",pi GE if AE ES
Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,./annotation_data/Political/Ef_CZSBWkAAP-FV.jpg,0.0,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0"," IF THIS WAS A ALBUM COVERWHAT WOULD YOU NAME ITO PARENTAL ADVISORY EXPLICIT CONTENT made with mematic 
",IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS
AsianHate,ChinaLiedPeopleDied,1297404417201729537,./data_AsianHate/ChinaLiedPeopleDied/tweets4/EgFOZFXUMAAyyUm.jpg,./annotation_data/AsianHate/EgFOZFXUMAAyyUm.jpg,1.0,"@StateDept @SecPompeo Freedom is not free, we must stop #CCPChina to crushing our freedom and human rights, we all know that CCP is terrism. 
#ChinaLiedPeopleDied #CCP_is_terrorist https://t.co/bygxa32VyA"," CC The CCP lies and makes those who tell the truth UNUM disappear SECRETARY OF STATE MICHAEL R POMPEO Photo State DeptRon Przysucha 
",ae and those ne who tell the truth SECRETARY OF STATE
Mask,masks,1298378857423101952,./data_Mask/masks/tweets4/EgTEr14U0AEK1JL.jpg,./annotation_data/Mask/EgTEr14U0AEK1JL.jpg,0.0,"Back to school shopping with my new high school student. Maybe my tee will be a reminder to the anti-maskers. But I doubt it. 

#masks
@NHM_London 
@NHM_Science https://t.co/ZCys0W8pkV"," NE BUILT I CHARLES DARWIN ON THE ORIGIN OF SPECIES WORLD TOUR 
",na aA ON THE ORIGIN OF SPECIES WORLD TOUR
Immigration,americafirst,1295930048583815168,./data_Immigration/americafirst/tweets3/EfwRdl_WoAAuKgA.jpg,./annotation_data/Immigration/EfwRdl_WoAAuKgA.jpg,1.0,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.

Good night @POTUS @FLOTUS and all Patriots!

#DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A #FoxNewsAtNight https://t.co/DQKltGVRw7"," WE DONT CARE WHICH ONE YOU ARE WE ARE AGAINST ALL ENEMIES FOREIGN AND OMESTIC facebook PadriolRevohbion  YOUR ASS IS OURS 
",WED CARE WHICH ONE YOU ARE WE ARE AGAINST ALL FOREIGN we Ay cal oil YOUR ASS IS
Boomer,trumpliesamericansdie,1292988243886170117,./data_Boomer/trumpliesamericansdie/tweets2/EfGdrJ3XYAIrNeU.jpg,./annotation_data/Boomer/EfGdrJ3XYAIrNeU.jpg,1.0,"Reporters SHOULD #InterruptTrump , and all WALK OUT as one when he lies and bullies a fellow reporter. 
His ""briefings"" are no more than masturbatory rallies for himself anyway, and not worthy of even covering! 
#TrumpIsACompleteFailure #LiarInChief #TrumpLiesAmericansDie https://t.co/54mNQ4RL7S","  TRUMP 2020 IT IS WHAT IT IS  SCAMAZON 
",aa Ta za AS
Immigration,americafirst,1298375010113945600,./data_Immigration/americafirst/tweets4/EgTBK-tXsAUI3bp.jpg,./annotation_data/Immigration/EgTBK-tXsAUI3bp.jpg,2.0,He's gonna mail in his vote. #America #AmericaFirst #RNC2020 #freedom @J47130015 @catturd2 @DonaldJTrumpJr @realDonaldTrump @w_terrence #SocialismKills https://t.co/NdLzRbe5n9," BIDEN BIDEN FOR TRUMP 
",
Vaccine,VaccinesWork,1298624526176202752,./data_Vaccine/VaccinesWork/tweets4/EgWjYVyWkAEa7eo.jpg,./annotation_data/Vaccine/EgWjYVyWkAEa7eo.jpg,0.0,"Africa reached a remarkable milestone and was declared wild #polio free

Because #VaccinesWork
Because of reliable supply chains
Because of strong partnerships
Because of dedicated health workers
 
Congratulations to #Africa and to everyone supporting the fight to #EndPolio. https://t.co/gU6L3P89vT"," EndPolio 062 unicef O for every child 
",for every child
AsianHate,ChinaVirus,1298246090517614593,./data_AsianHate/ChinaVirus/tweets4/EgRLtJ5XYAIMMOt.png,./annotation_data/AsianHate/EgRLtJ5XYAIMMOt.png,0.0,Have you seen how #Chinavirus introduced all kind of #ConspiracyTheories  and #qanon into Mainstream population talk in the last couple of months. Now everybody is Conspiracy Theorist or Living the Conspiracy ? https://t.co/MpRQdnw10s," If they say people who do not vaccinate are a danger to people who do vaccinate what are those vaccines actually for then  Just trying to free your mind  Morpheus 
",If they say people who do not vaccinate are danger to people who do vaccinate what are those actually for then mind Just trying to free your me
AsianHate,CCPVirus,1293531005043855361,./data_AsianHate/CCPVirus/tweets2/EfOKPNkWAAApjCj.jpg,./annotation_data/AsianHate/EfOKPNkWAAApjCj.jpg,2.0,"@honghong975 CCP tries to colonize our country Iran by a secret 25-years treaty. CCP will never stop its expansionism ideology and will delete freedom once they control a country.
We must get united against #CCPVirus.
🦁☀️+🇭🇰+🇹🇼+🇮🇳+🇦🇺
#MilkTeaAlliance https://t.co/CNdoH9DlbI"," lalamny  D With 2100 209   rEE Hong Kn BAN LIBERATE HONG KONG IRA ellicom IS NORUAWEI BAN HUAWEI RELN OF DUR TIME RELEASE No War 23  Your People IRANS Greatest Regime IN LIBERATE HONG KONG  ALA IRANIAN LIVES MATTER Stop executing children in REVOLUTION OF DUR TIMES IRAN 
",poe ae om aa Pay pat ae Cay mY LIBERATE HONG or wet
Boomer,trumpliesamericansdie,1298965693904433152,./data_Boomer/trumpliesamericansdie/tweets4/Egbaag1WoAIaO1c.jpg,./annotation_data/Boomer/Egbaag1WoAIaO1c.jpg,1.0,@CDCgov changes guidelines under direction of @realDonaldTrump a government agency bows down to the whim of a dictator #CDCBowsToTrump #TrumpLiesAmericansDie #TrumpLiesPeopleDie https://t.co/P7tqS2iENh," THANK ME FOR THE TREMENDOUS JOB im DOING 
",ME FoR ie DOING oR ge As ey
AsianHate,chinesevirus,1297472566743961600,./data_AsianHate/chinesevirus/tweets4/EgGLs-LXgAIL3jL.png,./annotation_data/AsianHate/EgGLs-LXgAIL3jL.png,2.0,@chothep @bennetowuonda @SolomonKarori2 @Olaf_Ke @MwangP01 @Luther_Gen @slmiheso @WilsonWaGitau on another issue... these pics are making rounds all over social media even as billions meant for #ChineseVirus are being shared by the elite even before they touch the ground. &amp; some will arrogantly claim nani hawezi pata 50bob ya mask. yeah we always blame the victims https://t.co/omq5MsIMeo," EACCKemsaExposed OTOLEO 
",ni iF ae
AsianHate,ChinaVirus,1294875623417159681,./data_AsianHate/ChinaVirus/tweets3/EfhScg9XYAADhxf.jpg,./annotation_data/AsianHate/EfhScg9XYAADhxf.jpg,1.0,"@Britnabee @BernardKerik @realDonaldTrump Oh, #ChinaVirus, Biden’s country https://t.co/yjPmj1bidK"," Top three toughest jobs in America right now D Police officer 2 Crab fisherman 3 Sign language interpreter for Joe Biden 
",Top three in right now fisherman interpreter for Joe
AsianHate,ChinaLiedPeopleDied,1299993046776389633,./data_AsianHate/ChinaLiedPeopleDied/tweets5/EgqAyPfU4AAlqe5.jpg,./annotation_data/AsianHate/EgqAyPfU4AAlqe5.jpg,2.0,Sri Lanka's India first policy has massive implications for regional security. Great step to protect South China Sea and hegemony of China in the region. #SouthChinaSea #ChinaLiedPeopleDied #SriLanka #ChineseButcher https://t.co/PAaA58CPSw," Will have India first policy China port k deal a mistake Lanka AP ers lls nd ng ith ili Iti ga on ers che 20 ex re President Gotabaya Rajapaksa right seen here with his brother and PM Mahinda Rajapaksa has said Sri Lanka cannot afford to be a strategic security threat to India We need to benefit from India 
",Will have UG aCe ES ae st tat yn wae Ay right seen here with his brother said Sri ra Beam ak oe aL
Boomer,karen,1295812713319292928,./data_Boomer/karen/tweets3/Efpz0s2XgAI1l-7.jpg,./annotation_data/Boomer/Efpz0s2XgAI1l-7.jpg,0.0,"Watch full video here: https://t.co/aRU8fJgiqy

#karenmemes #karensgonewild #karenmeme #freakout #freakouts #karenmemes #calmdownkaren #wayment #karen #karens #amycooper #tiktok #karenculture #Publicfreakout #Publicfreakouts #Karenfreakout #Karenfreakouts https://t.co/k2ePQGDaQ1"," RACIST KAREN ARRESTED FOR ATTACKING LANDSCAPE WORKERS 
",
Immigration,immigration,1297503994735140864,./data_Immigration/immigration/tweets4/EgGpAWHXYAABXiQ.jpg,./annotation_data/Immigration/EgGpAWHXYAABXiQ.jpg,0.0,"Amnesty Solicitors has a reputation for their litigation work. 
Find out more on our website 👉 https://t.co/rEfbBc7QYv
#immigration #uk #litigation #solicitors https://t.co/lFinZhweGI"," AMNESTY SOLICITORS Legal Services for all Litigation matters 
",Legal for all Litigation
Boomer,trumpliesamericansdie,1292236130772045830,./data_Boomer/trumpliesamericansdie/tweets2/Ee7x5wmWsAIb90F.jpg,./annotation_data/Boomer/Ee7x5wmWsAIb90F.jpg,1.0,"@JHoganGidley @realDonaldTrump Stop trying to shove this monster down our throats.

We hate him. We really hate him.

#TrumpGenocide
#TrumpGestapo #TrumpIsAMasdMurderer #TrumpLiesAmericansDie https://t.co/Sv6qAF0RfH"," DONNIE BODYBAGS 160000 DEATHS AND COUNTING imgflipcom 
",AND COUNTING
Immigration,cdnpoli,1295058461932298240,./data_Immigration/cdnpoli/tweets3/Efj4zLBX0AAxuSl.jpg,./annotation_data/Immigration/Efj4zLBX0AAxuSl.jpg,2.0,"#cdnpoli
#Canada
#USPolitics
#StreetArt

Amazing - 2
. https://t.co/KTxyoFN3Ns"," u ApHm 
",at
Political,maga,1300077419638988800,./data_Political/maga/tweets5/EgrNg8pU0AAuAqk.jpg,./annotation_data/Political/EgrNg8pU0AAuAqk.jpg,2.0,"@SenJohnBarrasso Wyoming Dept of Health urges masks and caution.

Dr. barASSo denies the science, throwing caution (and #coronavirus) to the wind.

Quack!

#BidenHarris2020 #TrumpFailure
#TrumpIsUnwell #maga #kag #Resist #gop #BidenVoters #Biden
#Trump https://t.co/oxZseoNSZc https://t.co/1aaofYKTf6"," O SchittsCreek ITS FUNNY BECAUSE 
",na ITS FUNNY BECAUSE
Political,Trump2020,1299645495736893441,./data_Political/Trump2020/tweets5/EglEqbsU8AEIqZ6.png,./annotation_data/Political/EglEqbsU8AEIqZ6.png,2.0,"Lead generation marketing is the most important in any marketing arsenal. If you are own a business then you must need high quality leads to increases your sales. I shall assist you to find the right leads. 
https://t.co/XF8R4vBYAm
#leadgeneration #digitalmarketing #Trump2020 https://t.co/lRpt6Fck9y"," B2B Leads Generation Prospect List Building Business leads e ing Targeted Leads Email listing 100 Grunted Exclusively on Fiverr 
",Generation Prospect List er Business EME alert ae
Political,maga,1295791990718832640,./data_Political/maga/tweets3/EfuTeAuWsAAeAwr.jpg,./annotation_data/Political/EfuTeAuWsAAeAwr.jpg,1.0,"@MadeInMexLoveUS @billnkate @DanScavino And just like that the narrative changes. #Chameleon
#QAnonCult #MAGA #RacistInChief https://t.co/cjcMhagL3X"," Why are we having all these people from shithole countries come here TRUMP WHITE HOUSE 
",ae me all these people from come here TRUMP WHITE HOUSE
Boomer,karen,1292921905025101826,./data_Boomer/karen/tweets2/EfFhnfsXgAUtXxN.jpg,./annotation_data/Boomer/EfFhnfsXgAUtXxN.jpg,0.0,@TomiLahren is the new #KAREN for CON-SERVATISM https://t.co/b3Tvu1n4Y9," MELTDOWN 
",
AsianHate,ChinaVirus,1300209632821088256,./data_AsianHate/ChinaVirus/tweets5/EgtEbQgWoAMTqJV.jpg,./annotation_data/AsianHate/EgtEbQgWoAMTqJV.jpg,1.0,@debragarrett @tedwheeler @realDonaldTrump @USNationalGuard That was the plan: Democrats release their domestic terrorists to run amok and blamed Trump for it just like #CCP unleashed their #ChinaVirus and they blamed Trump for the deaths. Dems keep trying to bring Trump down regardless of consequences because they basically hate America. https://t.co/heflaOKlSs," BRMCO Americans for Limited Government O2020 Creatorscom TRUMPS FAULT MURDER RATE RISING DEBLASIO COVID CRIMINAL RELEASE PROGRAM GUN VIOLENCE RISING RISING CRIME 
",FAULT oe ey ae AD ae
Mask,WearAMask,1290354988942872576,./data_Mask/WearAMask/tweets1/EehDBWCX0AEN-EZ.jpg,./annotation_data/Mask/EehDBWCX0AEN-EZ.jpg,2.0,"Be a Prince, #wearamask. 
😷
#maskmonday #prince #iwoulddie4u #librarybook #librariesrock https://t.co/zmt7jh8djN"," Im a Prince scholar and this is the ultimate Prince book QUESTLOVE I WOULD DIE 4 U WHY PRINCE BECAME AN ICON CE TOUR 
",ae LOVE Prince book Quest ce scholar and this is the ne WOULD wi am ad FA ore Ne fi an ait car al pit ie an ti An
Boomer,trumpliesamericansdie,1295040873504350209,./data_Boomer/trumpliesamericansdie/tweets3/EfjozmfXsAEv8eP.jpg,./annotation_data/Boomer/EfjozmfXsAEv8eP.jpg,2.0,@HKrassenstein Jason Miller Lied?!....#TrumpSyncophant #TrumpLiesAmericansDie https://t.co/L8rzxeKp1N," I DID NOT SEE THAT COMING AT ALL 
",
Political,Trump2020,1289584882448924672,./data_Political/Trump2020/tweets1/EeWGnORUEAIeIlP.png,./annotation_data/Political/EeWGnORUEAIeIlP.png,2.0,"Unisex American Flag Tee White shirt
Order product here: https://t.co/VP9DI1e4KD
#trump2020
#Q
#thinblueline
#backtheblue https://t.co/mjwujIJe1Q"," EST 2019 PDDEDE TRUMP  
",Ta ah linn Vas we
Mask,masks,1290782087721750529,./data_Mask/masks/tweets1/EenHddHXkAMCerX.jpg,./annotation_data/Mask/EenHddHXkAMCerX.jpg,2.0,"✨🃏🎭🎉⚜👑⚜🎉🎭🃏✨
 #MardiGras #Masks #Art #NOLA #Gifts 
#shoppingonline Check for daily #discount #sale #couponcode #gifts #giftideas #giftsforhim #giftsforher #shopping #holidays #Celebrations
🌏#WorldWide #shipping 🌏
👉 #Free #Personalization 👈
https://t.co/wTzZCQJpQq https://t.co/IaP0dTA3BC"," She Mari Gtas Sift Stoe Mard Gras Keep Calm and Mardi d Gras Mar Sras MaSaal 
",ae Mi ra
Immigration,cdnpoli,1296429423927885824,./data_Immigration/cdnpoli/tweets3/Ef3XsJ1XgAERMyD.jpg,./annotation_data/Immigration/Ef3XsJ1XgAERMyD.jpg,1.0,"The same journalists, politicians, political pundits that claimed Pierre Poilievre would be a great Prime Minister claim that Chrystia Freeland is not qualified to be the Minister of Finance! 🙄

#cdnpoli https://t.co/eCeR55cnST"," Harvard Career Politician Oxford Yells a lot Rhodes YesNo Scholar question specialist Best Selling TrudeauTriggered Author meme machine Speaks 5 Languanges Crayon economist Fighter Donk 
",Career Politician lot Ne Scholar question specialist Best Selling bate rel machine ist Crayon aS
Mask,WearYourMask,1297927856543203331,./data_Mask/WearYourMask/tweets4/EgMo80qXgAAKIid.jpg,./annotation_data/Mask/EgMo80qXgAAKIid.jpg,2.0,"First day of classes! 

It's an exciting and interesting new semester. We hope you all have a safe and successful school year!

Make sure to #WearYourMask ! https://t.co/NctAko89Nw"," BK TO SCHOOL SEMO 
",
Vaccine,CoronavirusVaccine,1294542323922153478,./data_Vaccine/CoronavirusVaccine/tweets3/EfcjYXaWoAAsomK.jpg,./annotation_data/Vaccine/EfcjYXaWoAAsomK.jpg,0.0,"▪️What you need to know about Coronavirus!

👉🏻Find out more:
🌐https://t.co/yGynjmdeAL

#Beautiful #beautytips #beautytipjar #COVIDー19 #CoronavirusVaccine #coronavirus #bbnaijalockdown2020 https://t.co/oR13AJuECp"," Reouly s fer the tiy k Seul What You Need to Know About CORONAVIRUS Covid19 It is transmitted Coughing Sneezing Close personal contact Touching an object then touching your mouth nose eyes Symptoms IP JAR BRAUTE Fever Cough Shortness of Breath Severe Illness tenuly W 
",What You Need to Know About Sneezing Close personal contact TA Touching an object then touching your mouth nose UP Fever Cough Shortness of Breath the Severe Illness
Immigration,cdnpoli,1297880755339657219,./data_Immigration/cdnpoli/tweets4/EgL95GpWAAEiIUU.jpg,./annotation_data/Immigration/EgL95GpWAAEiIUU.jpg,2.0,"Are you looking for someone who can create State of the Art, Astonising, Stunning Website for your Business feel free to contact me.
https://t.co/30wasURLHU
#elementor #MondayMotivation #JaredIsEvil #mondaythoughts #MondayVibes #qanda #aflpiesroos #4corners #mediawatch #cdnpoli https://t.co/F5wW2s1tcI"," Browse our Blog THE TECHNOLOGY SKILL PLATFORM IE elementor Python Devekopment Java Sm Master T frnun rlanturya e lakung t erleed pot Fed d How to get started Responsive WordPress Website  Landing pages Latest Articles Fr Latest Articles From Health Tips ELLO httpswwwfiverrcomiamusmankazmi Cek Ch S 100 2000 10 
",ME PRO Responsive Landing
Vaccine,VaccinesWork,1292845663311425536,./data_Vaccine/VaccinesWork/tweets2/EeR8qNPXYAEXvW6.png,./annotation_data/Vaccine/EeR8qNPXYAEXvW6.png,0.0,"Vaccines are safe for you and your family, and they are effective at preventing diseases, such as pertussis and measles. #VaccinesWork #NationalImmunizationAwarenessMonth #IVax2Protect https://t.co/4maA0AnZjD"," Vaccines are safe and effective at preventing serious diseases National Immunization Awareness Month 
",are safe and effective NA serious Awareness Month
AsianHate,wuhanvirus,1290040459125854209,./data_AsianHate/wuhanvirus/tweets1/Eeck9RTWsAcwLmW.jpg,./annotation_data/AsianHate/Eeck9RTWsAcwLmW.jpg,2.0,"@Ktsimmi @TCA63 @WCVB That’s what matters! Not asymptomatic cases! 🙄 It’s quite elementary that DEATHS &amp; HOSPITALIZATIONS matter! Only 406 of 7M residents hospitalized NOW. #WuhanVirus All-time low was last week @ 347! It’s simple math, FFS! 🙄🦠😷 https://t.co/IVWwLLUrz8"," WHOMP WHOMP 
",ra Se
Political,trumpvirus,1297221629421006849,./data_Political/trumpvirus/tweets4/EgCoMmMXkAIQq8e.jpg,./annotation_data/Political/EgCoMmMXkAIQq8e.jpg,1.0,@realDonaldTrump Weird. Last I heard...you’re the occupier blackmailing governors with taxpayer money. You’re the reason #TrumpVirus death toll is climbing to insane numbers. YOU. Trump is still recruiting. DON’T SiGN UP. https://t.co/fs7fzQlR61," I WANTYOU TO DIE for our ECONOMY OPEN AMERICA TODAY eTHOocOLuas OeTGLNYC 
",TO DIE for our ECONOMY OPEN TODAY
Vaccine,CoronavirusVaccine,1295364772632735746,./data_Vaccine/CoronavirusVaccine/tweets3/EfoPYeaWkAMaOMj.jpg,./annotation_data/Vaccine/EfoPYeaWkAMaOMj.jpg,2.0,"Whole world after month of corona vaccine 
#CoronaUpdatesInIndia #CoronavirusVaccine https://t.co/TdDlAEjhFk"," Perwin Kunwar 
",Or Per Ce wert eel
Mask,facemask,1292680745421434881,./data_Mask/facemask/tweets2/EfCGQdhUEAEG2wt.jpg,./annotation_data/Mask/EfCGQdhUEAEG2wt.jpg,0.0,"10Aug2020: When I saw this photo showing mandatory use of FaceMask in July 2020, #FaceMask &amp; #FaceShield in August, #MedicalUniform w/ #PhysicalProtectiveEquipment #PPE in September, &amp;  #AustronautUniform in October, I laughed. 🤓 #COVID19Pandemic #NewNormal #Travel #Backpacking https://t.co/zN21I7OW8P"," When I saw this photo I laughed out loud Face Shie Dret Spiac JULY Ast September October 
",When saw this photo out loud Face Sar en
AsianHate,chinesevirus,1292833700317663232,./data_AsianHate/chinesevirus/tweets2/EfERZBwWoAM4QzU.jpg,./annotation_data/AsianHate/EfERZBwWoAM4QzU.jpg,1.0,#China and #ChineseVirus are now controlling the world economies and BOTH are out of control... @Swamy39 https://t.co/kXhPcNZE5E," ht Maybe thats a question you should ask China 
",Maybe thats question you should ask China
AsianHate,wuhanvirus,1296446968835776513,./data_AsianHate/wuhanvirus/tweets3/Ef3npREUMAAQaP9.jpg,./annotation_data/AsianHate/Ef3npREUMAAQaP9.jpg,1.0,"The Hong Kong gov is paving the wave for mass surveillance! This is worse than national security law.

@realDonaldTrump please sanction against all individuals and insitutions that advocate and implement citywide #WuhanVirus testing in HK.

#MedicalFascism #Covid1984 https://t.co/15P1o8YdC9 https://t.co/K4gkdztpYh"," Calm down Were only doing fascism until we got all your dna data Hong Kong gov imgfipcom quickmncom 
",Calm down Were only doing fascism until we got all your data
Boomer,trumpliesamericansdie,1297525088816975873,./data_Boomer/trumpliesamericansdie/tweets4/EgG8LubXkAEafqR.jpg,./annotation_data/Boomer/EgG8LubXkAEafqR.jpg,0.0,@realDonaldTrump Once again....#TrumpLiesAmericansDie #BidenHarris2020 https://t.co/uoc44XBUTH," GIVE ME A BREAK 
",GIVE ME
Boomer,caresact,1293932966264045569,./data_Boomer/caresact/tweets2/EfT5LM3XgAETuQN.jpg,./annotation_data/Boomer/EfT5LM3XgAETuQN.jpg,0.0,"Local Minnesotan governments around the state are hustling to spend their share of an $841 million COVID-19 aid package from the federal CARES Act.

To access the article, visit https://t.co/YSeig2YhDV

#SBDC #OneMinnesota #CARESACT https://t.co/00XP2k9clX"," MINNPOST How Local Governments are Spending Their Share of MNs 841 Million in Federal COVID19 Aid AMERICAS Shared by the WC SBDC SBDC MINNESOTA 
",How Local are Spending Their Share of Million in Federal Aid Tae TIT Ra anon eS os
