Unnamed: 0,topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,label,text_with_OCR,lb_anoosha,lb_nishant,lb_zheyuan,is_same
25,vaccine_04,Plandemic,1253098813218152448,./tweet_data/vaccine_04/Plandemic/tweets4/EWPmtxzUEAAiT8x.jpg,./annot_data_hate/EWPmtxzUEAAiT8x.jpg,@doctorow Okay okay okay... I am finally getting there. #radicalized #Plandemic #LockedIn #feelsafe #day36 #dontcaughonme #masked #WhyDosentTheTeflonCoatedPresidentCatchIt https://t.co/uFXjq6x271,"fi eed red death ee

",2.0,fi eed red death ee,3,0,2,0
28,politics_12,TrumpIsANationalDisgrace,1338195764217073664,./tweet_data/politics_12/TrumpIsANationalDisgrace/tweets2/EpI59HyW8AA-EID.jpg,./annot_data_hate/EpI59HyW8AA-EID.jpg,@realDonaldTrump Quit your crying. You LOST. The People have spoken. SCOTUS have spoken.  So many people are dead and starving because of YOU! You can't lead. We'll clean up your mess! I can't wait until Jan. 20th! #TrumpVirus #BidenWonTrumpLost #BidenHarris #TrumpIsANationalDisgrace #concede https://t.co/Fk7cxJXUdP,"person oi

",2.0,person oi,0,2,2,0
32,politics_08,PedoJoe,1296197484583309312,./tweet_data/politics_08/PedoJoe/tweets3/Ef0Em4IWoAAvOIr.jpg,./annot_data_hate/Ef0Em4IWoAAvOIr.jpg,DON'T LET THIS HAPPEN...#PedoJoe is a TrojanHorse for COMMUNISM. #VoteTrump #Trump2020 #TrumpFOREVER https://t.co/jUMKTYbB9j,"text trump 70 joe biden isa trojan horse sake na ah

",0.0,text trump 70 joe biden isa trojan horse sake na ah,3,2,1,0
34,politics_04,kag,1253706447470411779,./tweet_data/politics_04/kag/tweets4/EWYPSgFXsAEi_YL.jpg,./annot_data_hate/EWYPSgFXsAEi_YL.jpg,"Come join us for our National Weekend of Action, where we’ll be engaging voters by making calls for President Trump so we can all #LeadRight and #KAG together! 🇺🇸 https://t.co/C0CONAdVb2","national weekend call april 2426 2020 join iz eu ga

",0.0,national weekend call april 2426 2020 join iz eu ga,2,2,0,0
36,politics_08,kag,1295941364186615808,./tweet_data/politics_08/kag/tweets3/EfwbzJAUcAECMdL.jpg,./annot_data_hate/EfwbzJAUcAECMdL.jpg,@ec_kag @jimscileppi @CountryTisOThee @gonepecan11 @TheMangoMan7 @mwtankard @bhoytie @kim2tex @Christine_MAGA @JasonRobergeVA @boomrsunr @girlygirl1227 @US13s @bheiss76 @KimJ1011 @twobarrels @leemack2 @MalinaFronda @TA_WYMAN @NobleMark22 @whydonttheytell Slow Joe is NOT what we need in America. We need a leader. Donald Trump is the man we need to #KAG https://t.co/RjKCUlC5Xc,"let blow ear fal thats awesome thank refill bd

",1.0,let blow ear fal thats awesome thank refill bd,1,1,0,0
38,politics_08,TrumpIsALaughingStock,1295856614369452032,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfvOuOAVoAAkyUF.jpg,./annot_data_hate/EfvOuOAVoAAkyUF.jpg,"This killer combo wants your vote now!
Available now in our Etsy store 
Link in bio  

#ElectionHQ 
#Vote 
#TrumpIsALaughingStock https://t.co/vuUxBV8bna","bundy dahmer 2020

",2.0,bundy dahmer 2020,0,2,2,0
43,politics_04,TrumpIsALaughingStock,1254081508236615680,./tweet_data/politics_04/TrumpIsALaughingStock/tweets4/EWdkewtVAAc4tRu.jpg,./annot_data_hate/EWdkewtVAAc4tRu.jpg,@realDonaldTrump Send them some disinfectant while you do that. #TrumpIsALaughingStock https://t.co/KVjWZdaxib,"pian ee aad ui trump att

",1.0,pian ee aad ui trump att,0,1,1,0
44,politics_08,TrumpIsANationalDisgrace,1290268520727678977,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets1/Eefz-06XsAIKJzJ.jpg,./annot_data_hate/Eefz-06XsAIKJzJ.jpg,"@realDonaldTrump Then why has new cases outpaced testing by over 300%, genius? #TrumpIsANationalDisgrace #Biden2020ToSaveAmerica https://t.co/VaoDEtXHn9","gx le np sat af dee porno grep alien dna ie ie ee s7

",0.0,gx le np sat af dee porno grep alien dna ie ie ee s7,2,0,0,0
46,politics_08,TrumpChaos,1300089723575304192,./tweet_data/politics_08/TrumpChaos/tweets5/EgrYTzxWoAEP1nY.jpg,./annot_data_hate/EgrYTzxWoAEP1nY.jpg,"It was perhaps one of the only times he wasn't lying.
And now we are here.
#TrumpRiots
#TrumpChaos https://t.co/Ma5GrwoXMh https://t.co/3aAPzAEGZ9","trump gould murder lose vote vy 3s

",1.0,trump gould murder lose vote vy 3s,2,2,1,0
47,politics_08,Trump2020Landslide,1298737977645043715,./tweet_data/politics_08/Trump2020Landslide/tweets4/EgYLTfBXcAcuNQy.jpg,./annot_data_hate/EgYLTfBXcAcuNQy.jpg,@hgurdon Wow! That would be something. Anything to get Slo-Joe to perform. #Trump2020Landslide https://t.co/5gdsLV1F7d,"1026 68 aa poa cece stl ha eee lose aa oo

",1.0,1026 68 aa poa cece stl ha eee lose aa oo,2,1,1,0
49,vaccine_04,CoronaHoax,1250538057717051392,./tweet_data/vaccine_04/CoronaHoax/tweets3/EVrNu87U0AAk4iv.jpg,./annot_data_hate/EVrNu87U0AAk4iv.jpg,Want me to wear a mask in public? K! #Event201 #plandemic #BillGatesForPrison #DefundWHO #MAGA2020 #CoronaHoax #OutOfShadows #ppe https://t.co/MDgAShVgtz,"fo op safe se eny qu yep plante oe sg

",1.0,fo op safe se eny qu yep plante oe sg,1,1,0,0
50,politics_04,Trump2020Landslide,1249806017145249793,./tweet_data/politics_04/Trump2020Landslide/tweets2/EVgz8O3WAAsbH-q.jpg,./annot_data_hate/EVgz8O3WAAsbH-q.jpg,@TheEllenShow #bekindtooneanother #ellentube my sign to you #EllenDeGeneres If Trump did then what would you say?? #Trump2020Landslide #Trump2020 https://t.co/l1jtC0TkjZ,"ellen degeneres

",2.0,ellen degeneres,2,0,2,0
52,politics_08,TrumpIsANationalDisgrace,1294831943817793536,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets3/Efgqym-XkAY_01H.jpg,./annot_data_hate/Efgqym-XkAY_01H.jpg,RIP Robert Trump... #WrongTrump #Trump #MAGA #TrumpFailedAmerica #TrumpIsANationalDisgrace #TrumpVirusDeathToll168K https://t.co/mghVOlcb3b,"ze get wrong

",0.0,ze get wrong,0,0,1,0
54,politics_12,TrumpIsALaughingStock,1338030777070653440,./tweet_data/politics_12/TrumpIsALaughingStock/tweets2/EpGjtZwW4AQ96EA.jpg,./annot_data_hate/EpGjtZwW4AQ96EA.jpg,"Click on the pic please...😅😅👎
#TrumpIsALaughingStock 
#Trump 
#Biden https://t.co/58H0ZrcnH7","nt speak lou tutte

",0.0,nt speak lou tutte,3,0,0,0
57,ageism_04,covidiots,1250772832574898177,./tweet_data/ageism_04/covidiots/tweets3/EVui9AQXsAEb1z0.png,./annot_data_hate/EVui9AQXsAEb1z0.png,"Hey y'all let's go protest the lock down protecting us from this virus, but let's be safe about it and wear a mask. #COVID19  #COVIDIOTS  https://t.co/ugRFSNYdw2 https://t.co/sQsXUIKHVt","bw cs wear msnbc video

",1.0,bw cs wear msnbc video,0,1,0,0
59,asianhate_04,ChineseVirus,1248927698203709441,./tweet_data/asianhate_04/ChineseVirus/tweets2/EVUVERYUMAA3alb.png,./annot_data_hate/EVUVERYUMAA3alb.png,"Result of Corona Quarantine

Visit us: https://t.co/M9lQ73JFus

#Quarantine #covid19 #coronavirus #chinesevirus https://t.co/nf3lKGkjXt","button ka social distancing sz le ae ne et te le kaj button ey social eee lg rahe eti

",0.0,button ka social distancing sz le ae ne et te le kaj button ey social eee lg rahe eti,2,0,0,0
60,politics_04,TrumpLiesPeopleDie,1250964609621770240,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets3/EVxRrDHWAAQM2SD.jpg,./annot_data_hate/EVxRrDHWAAQM2SD.jpg,"@PressSec @realDonaldTrump You lie, he lies, you all lie.  Unfortunately people are dying because of it.
#TrumpLiesPeopleDie https://t.co/IP1YrI78eD","remember 10 look 4s matt vr na

",0.0,remember 10 look 4s matt vr na,3,1,1,0
65,politics_08,LiarInChief,1298795301935943680,./tweet_data/politics_08/LiarInChief/tweets4/EgY_cNwWkAAdWCh.jpg,./annot_data_hate/EgY_cNwWkAAdWCh.jpg,"One of the original, bold-faced, psycho liars @ night3 of AMERICAN LIAR PARTY. Trumpler’s “alternate facts” nut job #kellyanneconway #GOPComplicitTraitors #PutinsPuppet #liars #LiarInChief #GOPConvention #GOP #TheLincolnProject #racism #racistinchief #VoteBlueToSaveAmerica #Biden https://t.co/dgNJbW8kGd","te kell tuesday

",1.0,te kell tuesday,1,1,0,0
66,politics_12,TrumpIsACompleteFailure,1336385766356897795,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/EovLxVMXcAI-g5e.jpg,./annot_data_hate/EovLxVMXcAI-g5e.jpg,fuck our president #TrumpIsACompleteFailure https://t.co/bz5IIGfRQ8,"coat joe fice die ty ee

",2.0,coat joe fice die ty ee,2,0,2,0
69,vaccine_12,BillGatesBioTerrorist,1344305998350135296,./tweet_data/vaccine_12/BillGatesBioTerrorist/tweets5/EqfvLk1XMAAcsSU.jpg,./annot_data_hate/EqfvLk1XMAAcsSU.jpg,@uksciencechief @UniofOxford @AstraZeneca Who's sponsored you #BillGatesBioTerrorist https://t.co/gUtfoEX3kr,"law require doctor scientist jacket run ge sl ie ra way know big company

",1.0,law require doctor scientist jacket run ge sl ie ra way know big company,0,1,1,0
74,ageism_08,covidiots,1289840729116663809,./tweet_data/ageism_08/covidiots/tweets1/EeZvThIUcAAS_LE.jpg,./annot_data_hate/EeZvThIUcAAS_LE.jpg,@ToomeyWright Fixed it for you #COVIDIOTS - yw 🐷🤪🦇 https://t.co/VyTlmZZJsk,"st child oe ee ad hte

",1.0,st child oe ee ad hte,3,1,2,0
86,vaccine_04,CoronaHoax,1253123045599973379,./tweet_data/vaccine_04/CoronaHoax/tweets4/EWP8wppXgAAXvfr.jpg,./annot_data_hate/EWP8wppXgAAXvfr.jpg,Don’t give up on your freedom ..#freedom #Justice #FreeAssange #Covid19Out #CoronaBollocks #CoronaHoax #endthelockdown #EndTheShutdownNow #StaySafe #civildisobedience #standforsomething #Agenda2030 #FakePandemic #fakevirus #Plannedemic #CoronaVillains #FireFauci #PoliceBrutality https://t.co/c1h2qKU8YM,"free society law unjust obligation break law lh

",0.0,free society law unjust obligation break law lh,0,2,0,0
88,ageism_04,covidiots,1251693853838540800,./tweet_data/ageism_04/covidiots/tweets3/EV7o7AbXQAAV9Le.jpg,./annot_data_hate/EV7o7AbXQAAV9Le.jpg,They walk among us. But only for a little while longer probably #COVIDIOTS https://t.co/haTiZOp1gZ,"mes ss communism ay ead af oes ea eee te tt ai

",0.0,mes ss communism ay ead af oes ea eee te tt ai,0,2,0,0
89,politics_12,TrumpIsALaughingStock,1337581241911173120,./tweet_data/politics_12/TrumpIsALaughingStock/tweets2/EpALDLbXIAASqsM.jpg,./annot_data_hate/EpALDLbXIAASqsM.jpg,@realDonaldTrump Another win for Biden #PresidentElectBiden #TrumpDerangementSyndrome #TrumpMeltdown #TrumpIsANationalDisgrace #TrumpTheFool #TrumpIsALaughingStock https://t.co/ELSpNmG5qn,"tie year ox biden

",2.0,tie year ox biden,0,2,2,0
91,politics_08,TrumpChaos,1298606457739411457,./tweet_data/politics_08/TrumpChaos/tweets4/EgWTsLWXgAEB41B.jpg,./annot_data_hate/EgWTsLWXgAEB41B.jpg,My calendar know things #TrumpChaos https://t.co/Xf3DMhToXg,"sk eae sha aae ae saas go greasy pole politic step step british politician michael wednesday 2020

",2.0,sk eae sha aae ae saas go greasy pole politic step step british politician michael wednesday 2020,0,2,2,0
92,politics_08,kag,1299781558887473157,./tweet_data/politics_08/kag/tweets5/EgnAcC1WAAEdJXR.jpg,./annot_data_hate/EgnAcC1WAAEdJXR.jpg,@ChrisMurphyCT LOL!  Such bull!  Trump 2020!  #KAG 🇺🇸😇🇺🇸 https://t.co/CcKuYiIV5H,"rt ze ry bs er ff qin democrats cunt rt cl cu ay feed

",0.0,rt ze ry bs er ff qin democrats cunt rt cl cu ay feed,0,1,0,0
93,immigration_08,BuildTheWall,1298117910100140033,./tweet_data/immigration_08/BuildTheWall/tweets4/EgPW4XgXkAAiSDh.jpg,./annot_data_hate/EgPW4XgXkAAiSDh.jpg,"#SteveBannon has been arrested for his #BuildTheWall fraud scheme so he's apparently a crook as well as a #WhiteSupremacist; I hope #DonaldTrump's former adviser enjoys many years behind bars as well as walls~!

https://t.co/mNNfQgDc7P https://t.co/zeLKkumDvn","a5 nen er stone ws ce oh es en qe ae po kee qe 7y pap fon ce var

",1.0,a5 nen er stone ws ce oh es en qe ae po kee qe 7y pap fon ce var,3,1,1,0
97,ageism_04,covidiots,1252752375183552513,./tweet_data/ageism_04/covidiots/tweets4/EWKrpO_WsA0WzGF.jpg,./annot_data_hate/EWKrpO_WsA0WzGF.jpg,"Furloughed. Hours of frustration attempting to get assistance. Kids (one special needs) lives disrupted, those all important routines shot to hell. I’m thinking it can’t get worse, and this douchebags’ photo shows up on my feed. From my home state. Ugh. #COVIDIOTS https://t.co/qqz10gPOBF","ae aera ory pa sic wow tenn

",1.0,ae aera ory pa sic wow tenn,1,2,0,0
98,politics_08,AmericaOrTrump,1292966849466920961,./tweet_data/politics_08/AmericaOrTrump/tweets2/EfGKEltUwAImVbX.jpg,./annot_data_hate/EfGKEltUwAImVbX.jpg,@realDonaldTrump You are responsible...like it or not. And so shallow that you lament the loss of entertainment instead of showing 'real' concern for the devastation your incompetence has wrought on the American people. #TrumpIsADisgrace #AmericaOrTrump #CrueltyIsThePoint #TrumpFailedAmerica https://t.co/ueMvjSYJQo,"rae right oi ae rc er ce ns ee oe lj endanger ie pay

",0.0,rae right oi ae rc er ce ns ee oe lj endanger ie pay,0,0,1,0
