topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
politics_04,LiarInChief,1245566204028346373,./tweet_data/politics_04/LiarInChief/tweets1/EUkj3FuXsAE7S-R.jpg,./annot_3000_hate/EUkj3FuXsAE7S-R.jpg,"@myfingershurt4 @PDXEleven @CNN hasn’t stopped airing the #CoronaVirusUpdates They showed all of Pence, Dr. Fauci and Dr. Birks.  People want to see the medical professionals. We don’t need to hear the same old crap from the #LiarInChief https://t.co/EVsSXpKtJ4","Just remember, what you're seeing and what you're reading is not what's happening."" -- Donald Trump, 2018 KANSAS CITY, MO 12 24 PM CT VET NO O FOX NEWS PRESIDENT TRUMP: THE EUROPEAN UNION MADE $151 BILLION OFF THE U.S. LAST YEAR FOX NEWS ALERT channe ",remember see read happen donald trump 2018 kansas city mo tla ie european union hi tee year,0.0
politics_12,TrumpIsALaughingStock,1337914618057003021,./tweet_data/politics_12/TrumpIsALaughingStock/tweets2/EpE3eHxWMAUhmXZ.png,./annot_3000_hate/EpE3eHxWMAUhmXZ.png,"@realDonaldTrump @BrianKempGA Act like a POTUS instead of a pissant. Your administration is a mess. What's up w/WH staff tweeting a pic of Jimmy Carter instead of you? No wonder people are saying #TrumpIsALaughingStock. #Trump, Matt Gaetz, Proud Boys, Ted Cruz, Ron Johnson et al., #stopthestupid, please. https://t.co/9Y4HurYMAI","Photo from the White House to mark the first day of Hanukkah. Note that the POTUS in the photo is Jimmy Carter, not Donald Trump. A WH error... or not? ",photo mark day hanukkah note potus photo wh error oh,0.0
ageism_2020-02,babyboomers,1228696776032636930,./tweet_data/ageism_2020-02/babyboomers/tweets3/EQ01NNnXUAE4i0Z.jpg,./annot_3000_hate/EQ01NNnXUAE4i0Z.jpg,"Get moving this year! https://t.co/frigcu22L8 has every scooter size at LOW PRICES with FREE SHIPPING!

#Seniors #Aging #AssistedLiving #SeniorCommunities #Mom #Dad #AgingParents #Family #Caregiving #Caregivers #SeniorLife #Babyboomers #boomers #Medicare #Health #Healthcare https://t.co/8vRPg57Pkq",AGING SHOULDN'T SLOW YOU DOWN 10% OFF SOCIAL10 PROMO CODE S Senior.com • com Age Well. Shop Smart. GOLDEN TECHNOLOGIES PATRIOT ,age ii shouldnt slow si ie ata promo code 10 ae emi gee ncc aa la,0.0
politics_04,TrumpLiesPeopleDie,1248601319377530880,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets2/EVPsNfcU0AU_w1Q.jpg,./annot_3000_hate/EVPsNfcU0AU_w1Q.jpg,"@thehill @IvankaTrump Especially all the small businesses having had to go to court to collect ten cents on the dollar after doing business with the Trump Crime Family. SAD.

#TrumpLiesPeopleDie https://t.co/bTwGzGdprK","DURING A PANDEMIC, WE MUST SEND HOME ALL NON-ESSENTAL WORKERS STARTING WITH THE GUY WHO CAREFULLY WATCHES OVER THE $2 TRILLION STIMULUS SLUSH FUND,.. CO2020 SOKO ",dri ng sen mb al ent holy th th watches mt tee sien sree 1020,1.0
politics_2020-02,kag,1225322562000957442,./tweet_data/politics_2020-02/kag/tweets1/EQE4X_gWAAIgLfQ.jpg,./annot_3000_hate/EQE4X_gWAAIgLfQ.jpg,"Have a few more Nancy!
#NancyPelosiIsADisgrace 
#MAGA #KAG #Trump https://t.co/HCXCsdyIED",ARE YOU DRUNK? YES NO ,aw wf drunk 4s ae,1.0
politics_08,Trump2020Landslide,1300071432211365896,./tweet_data/politics_08/Trump2020Landslide/tweets5/EgrIE7iXkAAIqnd.jpg,./annot_3000_hate/EgrIE7iXkAAIqnd.jpg,"My two 7 pound girl dogs have more manhood than @tedwheeler this feckless, useless virtue signaling coward needs to be fired! Then charged as an accomplice to murder! You’ve awakened a GIANT #Trump2020Landslide @realDonaldTrump gave you an offer now the blood is on you! IMHO https://t.co/uC5B1ZyDpq",We're fed up. We're not asking for our country back. We're - GR8 Lioness · PhotoGrid TAKING IT BACK ,feed ask pte ts ae gr8 aca take,0.0
asianhate_08,CCP_is_terrorist,1289971489614094336,./tweet_data/asianhate_08/CCP_is_terrorist/tweets1/Eebl_wxWoAICc_n.jpg,./annot_3000_hate/Eebl_wxWoAICc_n.jpg,"@SenRickScott @SolomonYue The world needs to start recognizing china as a terrorist regime. #UyghurHolocaust must be stopped.
#CCP_is_terrorist https://t.co/e0TuM8IX3y",uyghur Er.serhan ,ves ga ul uyghur sess le,1.0
politics_08,TrumpIsANationalDisgrace,1291928316354600960,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets2/Ee3Z9LrU8AEkYp_.jpg,./annot_3000_hate/Ee3Z9LrU8AEkYp_.jpg,@GOP @realDonaldTrump He just took a DNA test turns out he’s 100% that Rapist....🎹🎺🎼🎸🥁 #TrumpIsANationalDisgrace #TrumpLies https://t.co/BtlNktGcr0,The President of the United States is fighting the release of his DNA in a rape case. Evidence that would exonerate him if innocent. Let that sink in. @Michael Little YES SHE CAN ,president united states fight release dna rape case evidence exonerate innocent let sink sg sh ny,1.0
ageism_12,covidiots,1335438254661767169,./tweet_data/ageism_12/covidiots/tweets1/EohuA8RVoAEXkml.jpg,./annot_3000_hate/EohuA8RVoAEXkml.jpg,The return of reason and the exit of #WeirdoTrump and his #Covidiots. https://t.co/nuiEeS7IU7,Raise your hand if you kicked Trump's ass so hard you fractured your foot. ,kick ss trump hard fractured alte oe,1.0
politics_08,TrumpIsALaughingStock,1292052078924386304,./tweet_data/politics_08/TrumpIsALaughingStock/tweets2/Ee5Kg3FWkAImvQP.jpg,./annot_3000_hate/Ee5Kg3FWkAImvQP.jpg,"@GOP @realDonaldTrump Your messenger is a guy who says things like Yo-Semite, Thigh-Land, Tim Apple, oranges instead of origins, didn’t know John Thune is a Republican...maybe you should put trump’s campaign to sleep. #TrumpIsALaughingStock https://t.co/Y8523i3nba","AFUCKING MORON"" - REX TILLERSON ""HE'S LIKE AN 11-YEAR-OLD CHILD"" STEVE BANNON ""AN IDIOT - JOHN KELLY AN ""IDIOT"" AND A ""DOPE"" H.R. MCMASTER ""AN EMPTYVESSEL WHEN IT COMESTO THINGS LIKE THE CONSTITUTION AND RULE OF LAW"" ""AN IDIOT SURROUNDED BY CLOWNS -SCOTT PRUITT -GARY COHN ",rex idiot eee ee art lie vessel miko ly gary cohn,1.0
mask_2021-04,maskoff,1386472649514266628,./tweet_data/mask_2021-04/maskoff/tweets4/Ez29UkVUUAQu3mB.jpg,./annot_3000_hate/Ez29UkVUUAQu3mB.jpg,"Truth and fashion ,best combo !
 #wakeup #truth  #NoVaccinePassport #nwo #scamdemic #plandemic  #hoax #psyop #maskOFF #freedom #NWO #Agenda21 #mindcontrol #MSM #tyrany #medicalgenocide #vaccine #MondayMotivation  #mondaythoughts #Oscars2021 #OscarWang https://t.co/PHNxp9smhr",MMUNE SYSTEM MY MASK is on the INSIDE It's called an ,po ae le rp mask inside ws call af al ww,0.0
politics_04,TrumpGenocide,1249084922675019786,./tweet_data/politics_04/TrumpGenocide/tweets2/EVWkCQOWAAE0i1P.png,./annot_3000_hate/EVWkCQOWAAE0i1P.png,Trump sees vital aid as a tool he can leverage for political benefit@Abdnys #70DayDeadlyDelay #NeverEverForget #FakeGenius #DonaldTrumpIsRuiningOurCountry! #COVID19 #coronavirus #TrumpGenocide  #LifeInTheTimeOfCorona #TrumpPandemic #COVID19Pandemic #TrumpsCOVIDfails https://t.co/mRkizkb00j,"I HAVE VENTILATORS, BUT, I'D LIKE YOU TO DO ME A FAVOR THOUGH- repeat 168 ",ss ventilator id like bo favor ll om cs tt,1.0
asianhate_04,CCPVirus,1253832856918425601,./tweet_data/asianhate_04/CCPVirus/tweets4/EWaCVmwWAAISZX8.jpg,./annot_3000_hate/EWaCVmwWAAISZX8.jpg,Dumb F*uck! After being locked in for so long. You better be prepared to splurge. #中共病毒 #CCPVirus https://t.co/yr0EBa773M,"I'm taking her out for dinner, you don't think she'll be expecting something big do you? ",na ai ann ii shell expect somethi ene,0.0
politics_08,TrumpIsANationalDisgrace,1292197109811367936,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets2/Ee7OauxXsAABnOU.jpg,./annot_3000_hate/Ee7OauxXsAABnOU.jpg,This is what is running the USA. God help the world. #TrumpIsANationalDisgrace @VP @senatemajldr #TrumpPressConference @SenSanders @JoeBiden @AOC @cnnbrk @CBCNews https://t.co/GWRmOkywba,"“Me color good today, Doug Mills/The New York Times ",color good ne ss doug new york ies,1.0
politics_2020-02,kag,1223686104173379584,./tweet_data/politics_2020-02/kag/tweets1/EPtoBt_XUAAmc3o.jpg,./annot_3000_hate/EPtoBt_XUAAmc3o.jpg,"Some things never change. 

Happy Birthday, Andrew Breitbart!

(Feb 1, 1969 - March 1, 2012)

#KAG
#Saturday https://t.co/FchlEAm0DC",To pretend that you are neutral when you are not... Is the number i tool the left & the media use. Andrew Breitbart LessGovMoreFun.com ,ea va pretend es neutral number tool left medium use andrew breitbart,0.0
ageism_04,okboomer,1246134382894727170,./tweet_data/ageism_04/okboomer/tweets1/EUsonXNWsAAWFWi.jpg,./annot_3000_hate/EUsonXNWsAAWFWi.jpg,"@DavidVe84260480 this is what the world commonly knows as a bigoted response

guess what that makes you...

#OkBoomer #FoundTheHomophobe https://t.co/wo56K8viBr",Milton Vernon @DavidVe84260... · 1d v Replying to @TheCatDad2 Only fools and fags don't understand me whitch are you ,tl milton vernon 1d reply ma fool fag nt understand whitch tl qo,1.0
immigration_04,BuildTheWall,1246528409968222215,./tweet_data/immigration_04/BuildTheWall/tweets1/EUyO-7cWAAEMaJa.jpg,./annot_3000_hate/EUyO-7cWAAEMaJa.jpg,"Corps members notate &amp; mark power lines that run across the border, just above barrier project, from Mexico into the United States

BLOG https://t.co/DH7kyYpRIh

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-333 by #borderObserver https://t.co/SQQmL8WMRT","West of Calexico, CA May 5, 2019 ",mn ts sy sda rs vox vay jy ara iw aaa west calexico 2018,0.0
immigration_08,BuildTheWall,1296446515620319233,./tweet_data/immigration_08/BuildTheWall/tweets3/Ef3nGLYX0AEl5IV.jpg,./annot_3000_hate/Ef3nGLYX0AEl5IV.jpg,"The BEST part...? 

The guy who got #BANNONARRESTED, is the IG for the... wait for it... #USPS.

I. Shit. You. Not.

#karmaisreal #BuildTheWall https://t.co/zCFrv4inIi https://t.co/p0afmT71rb","Philip Bartlett, CFE · 3rd Inspector In Charge, New York Division at U.S. Postal Inspection Service ",philip bartlett cfe 3rd inspector charge new york division postal inspection service,0.0
asianhate_2020-02,BoycottChina,1224673118163099650,./tweet_data/asianhate_2020-02/BoycottChina/tweets1/EP7ptS-U4AcqI98.jpg,./annot_3000_hate/EP7ptS-U4AcqI98.jpg,"@chriswarkentin #CCP is doing this everywhere, it started the infiltration for decades, but the world just ignore CCP is exporting its ""Chinese characteristics communism!  #chinazi #BoycottChina https://t.co/NcoH3Etn8T",Axis power in WWI Axis power in 2020 (?) Germany China Adolf Hitler Italy Russia Benito Mussolini Japan Iran Hideki Tojo ,axis power wwii axis power 2020 cee china cn dq teg ory se iran,1.0
politics_04,TrumpLiesPeopleDie,1251594311306817537,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets3/EV6OZBXXkAAeoGy.jpg,./annot_3000_hate/EV6OZBXXkAAeoGy.jpg,Sobering #COVID #TrumpFailedAmerica #TrumpLiesPeopleDie https://t.co/7gha48jqFn,THE PROBLEM WEALL LIVE WITH Trump Evangelicals Nurses Businessmen Doctors Vaccine Researchers 19 Virologists Scientists POPULATION imgflip.com ,businessman evangelicals se doctor researcher scientist ser yy se,1.0
politics_12,TrumpIsACompleteFailure,1341478297570598913,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets4/Ep3jZtFXYAYkyjp.jpg,./annot_3000_hate/Ep3jZtFXYAYkyjp.jpg,"tic, toc, tic, toc... #TrumpIsACompleteFailure https://t.co/tRhmuTWal2",The New Trump Tower ,new trump tower ita hin bse sf,1.0
politics_12,TrumpIsALaughingStock,1337606412118142977,./tweet_data/politics_12/TrumpIsALaughingStock/tweets2/EpAhf4JXYAY53zB.jpg,./annot_3000_hate/EpAhf4JXYAY53zB.jpg,"That incompetent googly-eyed freak @KenPaxtonTX was no doubt looking for a pardon for his own numerous crimes. 

Which he will likely get before Trump slithers out of office in January.

But state cases against him can proceed.

Sad.

 #TrumpIsALaughingStock #TrumpIsPathetic https://t.co/TPjZBgNFBd",Office of the Attorney General of Texas ,py si al wy office attorney general texas,0.0
politics_04,TrumpGenocide,1245705433614094338,./tweet_data/politics_04/TrumpGenocide/tweets1/EUmiebDXQAEYBK7.jpg,./annot_3000_hate/EUmiebDXQAEYBK7.jpg,"@darren_done I would, but I do not believe a 1st grader, Trump, would have the ability for comprehending the word and its purpose. #TrumpLies #TrumpLiesEveryTimeHeSpeaks #TrumpLiesAboutCoronavirus #TrumpGenocide #TrumpKillsAmericans https://t.co/110N6yWyTQ","Donald Trump was the dumbest goddamn student I ever had.“ - William T. Kelly, former professor at the University of Pennsylvania, Wharton. ",donald trump dumb goddamn student saa al il bsa professor university pennsylvania wharton,1.0
ageism_2020-02,okboomer,1232297398736760839,./tweet_data/ageism_2020-02/okboomer/tweets4/ERn_84wXsAAwghD.jpg,./annot_3000_hate/ERn_84wXsAAwghD.jpg,Such a bummer that I’m not served ads for sports cars or high-end liquors anymore. Now all I see is specialty goods for old people. Getting old sure is a drag. #OldPeople #OKBoomer https://t.co/VdaOVHawQ7,"Ad N Senior Sock For Foot Pain New sock is helping millions of seniors turn back the clock on their aging, aching feet. socksoothers.com ",ad senior sock foot pain new sock help million senior turn clock age ache foot,0.0
politics_08,TrumpIsACompleteFailure,1292829113384869888,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets2/EfENOfIWoAI8VXn.jpg,./annot_3000_hate/EfENOfIWoAI8VXn.jpg,"#trump uses the best words. The biggest words. 

#TrumpIsACompleteFailure #TrumpCantRideABike https://t.co/6iuxSRFsUP",THE „J IN DONALD J. TRUMP STANDS FOR JENIUS. ,cc se donal ds ve es,1.0
politics_04,TrumpIsALaughingStock,1254121251221712896,./tweet_data/politics_04/TrumpIsALaughingStock/tweets4/EWeIoSlX0AIQvn8.jpg,./annot_3000_hate/EWeIoSlX0AIQvn8.jpg,I’m on my bully today y’all 💀🗣 #DearMrPresident #SinceYaLikeSarcasm #Holdat #TrumpIsALaughingStock #TrumpDisinfectant #TrumpOwnsEveryDeath #HesTheAntichrist #Realz https://t.co/qRwY9xm01n,What Would Jesus Do? Realz ,jesus aa ie cs,1.0
asianhate_04,ChinaLiedPeopleDied,1254254716927819778,./tweet_data/asianhate_04/ChinaLiedPeopleDied/tweets4/EWgCA8cWsAAXqHk.jpg,./annot_3000_hate/EWgCA8cWsAAXqHk.jpg,"@JoeBiden #TrumpPence2020 ♥️
Ban #chemtrails
Ban #BillGates  
#ChinaLiedPeopleDied 
#Hydroxychloroquine for everyone!!! https://t.co/XW9Gkw99Gc",I'M ON TEAM JOE! XI JINPING China Number One! Text JOE to 30330 BID N PRESIDENT Create your own at Avatar.JoeBiden.com By providing your mobile phone number you consent to receive reCurring text messages from Biden for President Message & Data Rates May ApplyText HELP for Info. Text STOP to opt out. No purchase necessary ,china number text joe er create es na ent ata ase ot rte lo,1.0
politics_08,TrumpIsACompleteFailure,1296083281281245190,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/Efyc3y6X0AI4C04.jpg,./annot_3000_hate/Efyc3y6X0AI4C04.jpg,@realDonaldTrump Go back to bed donny! Your time is over! #UnfitToBePresident #TrumpIsACompleteFailure https://t.co/ab05l9ac1u,I LIKE PEOPLE WHO WEREN'T IMPEACHED @STEPHENGROVESJR ,like people weren ir impeached,0.0
asianhate_2021-04,CCPLiedPeopleDied,1387707581548830720,./tweet_data/asianhate_2021-04/CCPLiedPeopleDied/tweets5/E0IgsLdVcAIKdga.jpg,./annot_3000_hate/E0IgsLdVcAIKdga.jpg,Sorry #Australia but #jacindaardern and her foreign affairs Minister would rather side with #CCPLiedPeopleDied https://t.co/WDvDVoF2Zb,UNREASONABLE AND PROVOCATIVE' PRAISED FOR 'SECURING ECONOMIC GROWTH HOORAY FOR JACINDA ,cod iv ae ty vn praise fer securing growth,0.0
politics_2020-02,CreepyJoe,1223396889405673472,./tweet_data/politics_2020-02/CreepyJoe/tweets1/EPpg_EhWkAETjAs.jpg,./annot_3000_hate/EPpg_EhWkAETjAs.jpg,@dbongino #CreepyJoe #Biden &amp; #HunterBiden doesn't want everyone finding out that #BidenIsCorrupt. The #BidenCrimeFamily are Scared! https://t.co/6XLfC1oTm2,HELP ME DADDY THOSE MEAN OLD SENATORS WANT ME TO TESTIFY ABOUT THE MONEY ,help daddy ad wt mean old senator es want testify,1.0
politics_12,TrumpIsACompleteFailure,1336494607438385153,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/EowuwgGXYAAwgH3.jpg,./annot_3000_hate/EowuwgGXYAAwgH3.jpg,@DonaldJTrumpJr 😜 bUT i ReAd IT oN bReItBArT 😜 @RandPaul too 😏 #GOPGenocide #TrumpIsACompleteFailure https://t.co/xkObxyTCIw,"CanI just say that of all the idiots in all the idiot villages in all the idiot worlds you standalone, my friend. ",lesa ec gan idiot ote er ea world tee frien,1.0
politics_08,TrumpIsACompleteFailure,1293943991940120577,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets2/EfUDMxIXgAALmCm.jpg,./annot_3000_hate/EfUDMxIXgAALmCm.jpg,"@realDonaldTrump I just lost a ton of respect for #CoachO 
Leave it to #DumbDonald to ruin the #LSUTigers for me.
#TrumpKillsUS
#TrumpPandemicFailure 
#TrumpDeathToll167K 
#TrumpIsACompleteFailure 
#COVID19 https://t.co/TO7II7l78A",United ates Football League EVERYTHING TRUMP TOUCHES DIES WHN ** ,united ates unga oi mort cm touches lr,1.0
politics_12,TrumpIsACompleteFailure,1337868284327288834,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/EpEQHOvXMAgercK.jpg,./annot_3000_hate/EpEQHOvXMAgercK.jpg,"They mean pro death 💀 rallies are underway in #DC. 

#TrumpIsACompleteFailure https://t.co/urFFiYeETN","Politics · 3 hours ago Pro-Trump rallies are underway in Washington, DC Trending with Proud Boys ",politic hour ago rally underway washington dc fo trend proud boys,0.0
asianhate_2020-02,ChinaVirus,1226062232435482625,./tweet_data/asianhate_2020-02/ChinaVirus/tweets2/EQPZFUiWsAAJriy.jpg,./annot_3000_hate/EQPZFUiWsAAJriy.jpg,"Igboman Always On Top.

#Nnaemeka You're Protected.
#ChinaVirus 
😎 https://t.co/iMvzYE1ImL",M McDonal ,aie sil sie tt ie ai menor ip whe tt rs,0.0
politics_2020-02,kag,1227522164124999681,./tweet_data/politics_2020-02/kag/tweets2/EQkI5mPW4AIDWcC.jpg,./annot_3000_hate/EQkI5mPW4AIDWcC.jpg,When are we going to draw the line?!?!? Sleepy-Creepy Joe just revealed the truth of the dems rationale for gun control...... ENOUGH! #nra #guns #gun #2a #2ndamendment #creepyjoebiden #usa #trump #trump2020 #maga #kag #patriots @Iraqveteran8888 #5stone https://t.co/cMxDRGJGZg,NRA SHURE JOE BIDEN: GUN OWNERS WITH AK-47s CAN'T BEAT THE GOVERNMENT'S F-15s ,sx nf joe biden gun owners ak47s cant beat government,0.0
immigration_12,BuildTheWall,1337940819605655554,./tweet_data/immigration_12/BuildTheWall/tweets2/EpFSFfJXYAMwnkO.jpg,./annot_3000_hate/EpFSFfJXYAMwnkO.jpg,"Oscar EL Blue surveys to new border wall construction in Tijuana, Baja California - VIDEO on blog
BLOG https://t.co/JqN4Arpkd1

The road is in Mexico. #theWall is dead ahead.

#FinishTheWall #BuildTheWall

#quikTake qt-twall-tj-35 by #borderObserver https://t.co/nWHEqqlIc7","Tijuana, Baja California Video by Oscar El Blue f: http://bit.ly/2TAY40K ",ey ee ss na california video oscar el blue ci,0.0
politics_08,TrumpIsACompleteFailure,1296374089779535872,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/Ef2lXE8U4AEcrML.jpg,./annot_3000_hate/Ef2lXE8U4AEcrML.jpg,"@GOPChairwoman @realDonaldTrump She has jokes 🤣🤣🤣 #DemConvention2020 
#VoteBlueToEndThisNightmare 
#TrumpIsACompleteFailure 
#VoteOutCorruptGOP https://t.co/bLOznEj3Cc",hahahahaha ,oe ye scion ahahaha,0.0
ageism_04,covidiots,1245415813575655425,./tweet_data/ageism_04/covidiots/tweets1/EUiY3yHUUAI5S2t.jpg,./annot_3000_hate/EUiY3yHUUAI5S2t.jpg,"A Rainbow's coming!  —  RT your optimism!
#COVID19 #COVIDIOTS #COVID19france #CoronavirusPandemic #CoronaVirusUpdate #VirusChines #virus #rainbowsofhope #god #rainbow #safety #firefighters #nurses #doctors #hospitals #hopegoesglobal #hope #life #lovethyneighbor #love #HangInThere https://t.co/lSkRlYG4jD","There's a RAINBOW Coming at the End of the Scary Covid19 Road! So, Hang In/There! ",iil fm ofthe scary ah ae eg oe ae pee ol 161 tae,0.0
politics_08,TrumpIsANationalDisgrace,1296433570442076160,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets3/Ef3bdbyVoAEgrFr.jpg,./annot_3000_hate/Ef3bdbyVoAEgrFr.jpg,"@BorisEP @realDonaldTrump @TimMurtaugh @realDonaldTrump attacks the dead - #McCain - so classy! 

#TrumpIsANationalDisgrace https://t.co/xknXBgyXqD","In Blistering Attack, Obama Takes Down Trump As Threat To Democracy cle he ion Democratic National Convention via AP ",blistering attack obama take trump threat democracy ion democratic convention ap,0.0
